Ti,Te,Rdif,Rdir,precip,ws,wd
21.9,-9.8,0.0,0.0,0.0,1.0,30.0
21.9,-9.8,0.0,0.0,0.0,0.0,0.0
21.85,-9.4,0.0,0.0,0.0,1.0,40.0
21.75,-9.4,0.0,0.0,0.0,0.0,0.0
21.7,-9.1,0.0,0.0,0.0,1.5,40.0
21.7,-9.6,0.0,0.0,0.0,0.0,0.0
21.65,-8.7,0.0,0.0,0.0,1.5,40.0
21.55,-8.7,0.0,0.0,0.0,1.5,20.0
21.5,-9.7,0.0,0.0,0.0,1.5,70.0
21.5,-9.3,0.0,0.0,0.0,0.0,0.0
21.45,-7.7,0.0,0.0,0.0,2.6,30.0
21.4,-7.4,3.0,1.0,0.0,2.1,20.0
21.45,-6.8,20.0,2.0,0.0,4.1,30.0
21.5,-6.9,45.0,1.0,0.0,4.1,30.0
21.5,-7.4,40.0,0.0,0.0,5.1,30.0
21.55,-8.0,30.0,0.0,0.0,4.1,30.0
21.65,-8.7,21.0,1.0,0.0,3.6,40.0
21.7,-9.1,11.0,0.0,0.0,5.1,30.0
21.65,-9.8,0.0,0.0,0.0,4.1,40.0
21.6,-10.3,0.0,0.0,0.0,5.1,30.0
21.6,-10.7,0.0,0.0,0.0,5.1,40.0
21.55,-10.5,0.0,0.0,0.0,5.1,50.0
21.5,-10.3,0.0,0.0,0.0,5.1,50.0
21.5,-10.0,0.0,0.0,0.0,6.2,40.0
21.5,-9.6,0.0,0.0,0.0,6.7,40.0
21.5,-9.6,0.0,0.0,0.0,5.7,40.0
21.5,-10.2,0.0,0.0,0.0,5.7,40.0
21.45,-9.2,0.0,0.0,0.0,5.7,40.0
21.4,-7.7,0.0,0.0,0.0,6.2,40.0
21.4,-6.8,0.0,0.0,0.0,7.7,40.0
21.45,-6.8,0.0,0.0,0.0,7.2,40.0
21.55,-7.2,0.0,0.0,0.2,7.2,40.0
21.6,-7.2,0.0,0.0,0.2,7.2,40.0
21.65,-6.8,0.0,0.0,0.1,7.7,40.0
21.7,-6.5,0.0,0.0,0.0,8.7,40.0
21.7,-6.0,2.0,1.0,0.0,9.3,40.0
21.85,-6.1,13.0,1.0,0.0,8.7,40.0
21.95,-5.9,23.0,1.0,0.0,9.3,50.0
21.799999999999997,-5.8,34.0,1.0,0.0,8.7,40.0
21.7,-5.6,34.0,0.0,0.0,8.7,40.0
21.65,-5.5,24.0,1.0,0.0,8.2,40.0
21.55,-5.1,4.0,1.0,0.0,8.7,40.0
21.5,-5.0,0.0,0.0,0.0,7.7,50.0
21.55,-5.1,0.0,0.0,0.0,8.7,40.0
21.65,-5.2,0.0,0.0,0.0,9.3,50.0
