Ti,Te,Rdif,Rdir,precip,ws,wd
23.5,-2.5,0.0,0.0,0.0,2.4,290.0
23.25,-4.4,0.0,0.0,0.3,2.7,290.0
23.05,-2.7,0.0,0.0,0.0,2.8,303.0
22.95,-2.7,0.0,0.0,0.0,3.4,293.0
22.799999999999997,-1.9,0.0,0.0,0.2,3.4,297.0
22.65,-1.8,0.0,0.0,0.0,4.2,289.0
22.55,-2.8,0.0,0.0,0.0,4.7,286.0
22.45,-3.7,0.0,0.0,0.0,4.1,292.0
22.35,-4.5,18.0,1.0,0.0,3.4,304.0
22.35,-4.9,78.0,7.0,0.0,3.9,306.0
22.5,-4.0,146.0,7.0,0.0,3.8,300.0
22.700000000000003,-2.4,228.0,57.0,0.0,3.7,321.0
22.85,-1.1,239.0,8.0,0.0,4.4,313.0
22.799999999999997,-0.6,275.0,81.0,0.0,5.8,332.0
22.799999999999997,0.5,220.0,178.0,0.0,6.4,339.0
22.9,1.7,256.0,22.0,0.0,4.2,339.0
22.75,1.9,138.0,61.0,0.0,4.8,327.0
22.700000000000003,2.2,111.0,26.0,0.0,5.0,336.0
22.9,2.2,40.0,126.0,0.0,3.8,353.0
22.9,1.5,24.0,26.0,0.0,3.5,312.0
22.75,-1.4,0.0,0.0,0.0,1.7,293.0
22.85,-3.4,0.0,0.0,0.0,1.9,239.0
22.95,-5.2,0.0,0.0,0.0,3.2,220.0
22.95,-5.0,0.0,0.0,0.0,3.5,223.0
22.9,-4.3,0.0,0.0,0.0,2.2,206.0
22.75,-4.1,0.0,0.0,0.0,2.1,194.0
22.7,-5.6,0.0,0.0,0.0,3.0,198.0
22.7,-4.6,0.0,0.0,0.0,2.8,194.0
22.7,-4.8,0.0,0.0,0.0,2.7,194.0
22.7,-5.6,0.0,0.0,0.0,3.7,197.0
22.65,-5.1,0.0,0.0,0.0,4.0,202.0
22.65,-4.7,0.0,0.0,0.0,3.8,211.0
22.75,-3.6,56.0,4.0,0.0,4.0,192.0
22.75,-2.3,86.0,0.0,0.0,5.1,214.0
22.7,-1.0,71.0,-3.0,0.0,4.9,209.0
22.65,-0.2,77.0,-1.0,0.0,5.8,214.0
22.55,0.3,95.0,1.0,0.2,7.5,221.0
22.5,0.3,99.0,1.0,0.1,7.6,215.0
22.4,0.7,165.0,2.0,0.0,6.5,205.0
22.25,0.7,124.0,2.0,0.0,5.6,210.0
22.15,0.7,91.0,2.0,0.0,7.8,214.0
22.05,0.7,79.0,2.0,0.0,6.8,213.0
22.05,0.7,40.0,1.0,0.0,6.5,210.0
22.0,0.6,8.0,0.0,0.0,6.9,215.0
